Name MC MP
Bitcoin 58943.54 88.2
Ethereum 3233.91 4.8
Tether 0.9992 0.0
BNB 540.42 0.8
Solana 136.75 0.2
USDC 0.9999 0.0
XRP 0.4599 0.0
Toncoin 7.63 0.0
Dogecoin 0.1151 0.0
Cardano 0.395 0.0
TRON 0.13 0.0
Avalanche 26.01 0.0
"Shiba Inu" 0.0 0.0
Polkadot 5.91 0.0
Chainlink 13.34 0.0
"Bitcoin Cash" 362.41 0.5
"NEAR Protocol" 4.96 0.0
Dai 1.0 0.0
"UNUS SED LEO" 5.76 0.0
Litecoin 70.69 0.1
Polygon 0.52 0.0
Uniswap 8.29 0.0
Kaspa 0.17 0.0
Pepe 0.0 0.0
"Internet Computer" 7.12 0.0
"Ethereum Classic" 21.96 0.0
"Artificial Superintelligence Alliance" 1.23 0.0
Monero 163.21 0.2
Aptos 6.43 0.0
Render 7.1 0.0
Stellar 0.09 0.0
Hedera 0.07 0.0
OKB 41.21 0.1
Cosmos 6.31 0.0
Arbitrum 0.74 0.0
Mantle 0.72 0.0
Cronos 0.09 0.0
Filecoin 4.04 0.0
Stacks 1.51 0.0
Immutable 1.44 0.0
Maker 2303.9 3.4
"First Digital USD" 1.0 0.0
VeChain 0.02 0.0
Injective 21.02 0.0
Sui 0.76 0.0
dogwifhat 1.83 0.0
"The Graph" 0.19 0.0
Optimism 1.6 0.0
Arweave 25.32 0.0
Bittensor 236.02 0.4
"Lido DAO" 1.75 0.0
"Bitget Token" 1.11 0.0
Bonk 0.0 0.0
Ondo 1.11 0.0
FLOKI 0.0 0.0
"Brett (Based)" 0.14 0.0
"Theta Network" 1.41 0.0
Fantom 0.49 0.0
Aave 85.56 0.1
THORChain 3.78 0.0
Notcoin 0.01 0.0
JasmyCoin 0.02 0.0
Algorand 0.14 0.0
"Pyth Network" 0.3 0.0
Core 1.17 0.0
Jupiter 0.76 0.0
Celestia 5.17 0.0
Flare 0.02 0.0
Sei 0.3 0.0
"KuCoin Token" 9.53 0.0
Quant 73.98 0.1
Starknet 0.61 0.0
Flow 0.59 0.0
"Ethereum Name Service" 26.47 0.0
EOS 0.55 0.0
MultiversX 30.08 0.0
"Axie Infinity" 5.49 0.0
"Bitcoin SV" 40.63 0.1
Gala 0.02 0.0
"Akash Network" 3.26 0.0
Beam 0.02 0.0
"BitTorrent [New]" 0.0 0.0
Ethena 0.45 0.0
Neo 10.76 0.0
Tezos 0.75 0.0
USDD 1.0 0.0
"dYdX (Native)" 1.23 0.0
ORDI 34.16 0.1
"The Sandbox" 0.31 0.0
Gnosis 268.41 0.4
GateToken 7.41 0.0
MANTRA 0.81 0.0
Conflux 0.15 0.0
Nexo 1.13 0.0
Pendle 4.07 0.0
Ronin 1.88 0.0
Chiliz 0.07 0.0
Worldcoin 2.34 0.0
zkSync 0.17 0.0
Oasis 0.09 0.0
